year,month,sex,age_group,deaths,expected,excess,pct_change,age_band
2017,April,Both Sexes,45 to 49,640,657,-17,-2.7,Middle Aged
2017,April,Both Sexes,50 to 54,930,1001,-71,-7.1,Middle Aged
2017,April,Both Sexes,55 to 59,1297,1418,-121,-8.6,Middle Aged
2017,April,Both Sexes,60 to 64,1781,1939,-158,-8.1,Middle Aged
2017,April,Both Sexes,65 to 69,2748,2908,-160,-5.5,Older Adults
2017,April,Both Sexes,70 to 74,3850,4138,-288,-7,Older Adults
2017,April,Both Sexes,75 to 79,4852,5130,-278,-5.4,Seniors
2017,April,Both Sexes,80 to 84,6287,6991,-704,-10.1,Seniors
2017,April,Both Sexes,85 to 89,7042,8069,-1027,-12.7,Elderly
2017,April,Both Sexes,90 and over,8291,9423,-1132,-12,Elderly
2017,April,Male,All ages,19442,21230,-1788,-8.4,All Ages
2017,April,Male,0 to 29,355,367,-12,-3.3,Infants & Toddlers
2017,April,Male,30 to 44,491,514,-23,-4.4,Young Adults
2017,April,Male,45 to 49,389,394,-5,-1.3,Middle Aged
2017,April,Male,50 to 54,525,600,-75,-12.5,Middle Aged
2017,April,Male,55 to 59,816,852,-36,-4.2,Middle Aged
2017,April,Male,60 to 64,1057,1158,-101,-8.7,Middle Aged
2017,April,Male,65 to 69,1652,1719,-67,-3.9,Older Adults
2017,April,Male,70 to 74,2259,2406,-147,-6.1,Older Adults
2017,April,Male,75 to 79,2713,2848,-135,-4.7,Seniors
2017,April,Male,80 to 84,3264,3593,-329,-9.2,Seniors
2017,April,Male,85 to 89,3220,3637,-417,-11.5,Elderly
2017,April,Male,90 and over,2701,3142,-441,-14,Elderly
2017,April,Female,All ages,19659,21888,-2229,-10.2,All Ages
2017,April,Female,0 to 29,221,220,1,0.6,Infants & Toddlers
2017,April,Female,30 to 44,316,343,-27,-7.9,Young Adults
2017,April,Female,45 to 49,251,263,-12,-4.7,Middle Aged
2017,April,Female,50 to 54,405,401,4,0.9,Middle Aged
2017,April,Female,55 to 59,481,567,-86,-15.1,Middle Aged
2017,April,Female,60 to 64,724,781,-57,-7.3,Middle Aged
2017,April,Female,65 to 69,1096,1189,-93,-7.8,Older Adults
2017,April,Female,70 to 74,1591,1732,-141,-8.2,Older Adults
2017,April,Female,75 to 79,2139,2282,-143,-6.3,Seniors
2017,April,Female,80 to 84,3023,3398,-375,-11,Seniors
2017,April,Female,85 to 89,3822,4431,-609,-13.8,Elderly
2017,April,Female,90 and over,5590,6281,-691,-11,Elderly
2017,May,Both Sexes,All ages,44279,44551,-272,-0.6,All Ages
2017,May,Both Sexes,0 to 29,642,655,-13,-2,Infants & Toddlers
2017,May,Both Sexes,30 to 44,962,915,47,5.2,Young Adults
2017,May,Both Sexes,45 to 49,726,702,24,3.5,Middle Aged
2017,May,Both Sexes,50 to 54,1089,1068,21,1.9,Middle Aged
2017,May,Both Sexes,55 to 59,1482,1514,-32,-2.1,Middle Aged
2017,May,Both Sexes,60 to 64,2054,2070,-16,-0.8,Middle Aged
2017,May,Both Sexes,65 to 69,3198,3089,109,3.5,Older Adults
2017,May,Both Sexes,70 to 74,4429,4461,-32,-0.7,Older Adults
2017,May,Both Sexes,75 to 79,5301,5375,-74,-1.4,Seniors
2017,May,Both Sexes,80 to 84,7046,7254,-208,-2.9,Seniors
2017,May,Both Sexes,85 to 89,8158,8130,28,0.3,Elderly
2017,May,Both Sexes,90 and over,9192,9318,-126,-1.4,Elderly
2017,May,Male,All ages,22055,22077,-22,-0.1,All Ages
2017,May,Male,0 to 29,401,410,-9,-2.2,Infants & Toddlers
2017,May,Male,30 to 44,586,548,38,6.9,Young Adults
2017,May,Male,45 to 49,458,420,38,8.9,Middle Aged
2017,May,Male,50 to 54,644,640,4,0.6,Middle Aged
2017,May,Male,55 to 59,924,909,15,1.6,Middle Aged
2017,May,Male,60 to 64,1221,1236,-15,-1.2,Middle Aged
2017,May,Male,65 to 69,1917,1826,91,5,Older Adults
2017,May,Male,70 to 74,2586,2594,-8,-0.3,Older Adults
2017,May,Male,75 to 79,2940,2985,-45,-1.5,Seniors
2017,May,Male,80 to 84,3631,3728,-97,-2.6,Seniors
2017,May,Male,85 to 89,3661,3669,-8,-0.2,Elderly
2017,May,Male,90 and over,3086,3112,-26,-0.8,Elderly
2017,May,Female,All ages,22224,22474,-250,-1.1,All Ages
2017,May,Female,0 to 29,241,245,-4,-1.7,Infants & Toddlers
2017,May,Female,30 to 44,376,366,10,2.6,Young Adults
2017,May,Female,45 to 49,268,281,-13,-4.7,Middle Aged
2017,May,Female,50 to 54,445,428,17,3.9,Middle Aged
2017,May,Female,55 to 59,558,605,-47,-7.8,Middle Aged
2017,May,Female,60 to 64,833,834,-1,-0.1,Middle Aged
2017,May,Female,65 to 69,1281,1264,17,1.4,Older Adults
2017,May,Female,70 to 74,1843,1867,-24,-1.3,Older Adults
2017,May,Female,75 to 79,2361,2390,-29,-1.2,Seniors
2017,May,Female,80 to 84,3415,3526,-111,-3.1,Seniors
2017,May,Female,85 to 89,4497,4461,36,0.8,Elderly
2017,May,Female,90 and over,6106,6206,-100,-1.6,Elderly
2017,June,Both Sexes,All ages,42175,42123,52,0.1,All Ages
2017,June,Both Sexes,0 to 29,666,634,32,5,Infants & Toddlers
2017,June,Both Sexes,30 to 44,924,892,32,3.6,Young Adults
2017,June,Both Sexes,45 to 49,747,685,62,9.1,Middle Aged
2017,June,Both Sexes,50 to 54,1095,1046,49,4.7,Middle Aged
2017,June,Both Sexes,55 to 59,1422,1482,-60,-4,Middle Aged
2017,June,Both Sexes,60 to 64,1903,2024,-121,-6,Middle Aged
2017,June,Both Sexes,65 to 69,3114,3004,110,3.7,Older Adults
2017,June,Both Sexes,70 to 74,4107,4243,-136,-3.2,Older Adults
2017,June,Both Sexes,75 to 79,5167,5166,1,0,Seniors
2017,June,Both Sexes,80 to 84,6731,6750,-19,-0.3,Seniors
2017,June,Both Sexes,85 to 89,7531,7643,-112,-1.5,Elderly
2017,June,Both Sexes,90 and over,8768,8556,212,2.5,Elderly
2017,June,Male,All ages,20944,20957,-13,-0.1,All Ages
2017,June,Male,0 to 29,444,396,48,12,Infants & Toddlers
2017,June,Male,30 to 44,558,534,24,4.4,Young Adults
2017,June,Male,45 to 49,459,410,49,11.9,Middle Aged
2017,June,Male,50 to 54,654,626,28,4.5,Middle Aged
2017,June,Male,55 to 59,861,889,-28,-3.2,Middle Aged
2017,June,Male,60 to 64,1147,1208,-61,-5.1,Middle Aged
2017,June,Male,65 to 69,1813,1774,39,2.2,Older Adults
2017,June,Male,70 to 74,2391,2465,-74,-3,Older Adults
2017,June,Male,75 to 79,2887,2867,20,0.7,Seniors
2017,June,Male,80 to 84,3467,3471,-4,-0.1,Seniors
2017,June,Male,85 to 89,3387,3453,-66,-1.9,Elderly
2017,June,Male,90 and over,2876,2861,15,0.5,Elderly
2017,June,Female,All ages,21231,21166,65,0.3,All Ages
2017,June,Female,0 to 29,222,238,-16,-6.6,Infants & Toddlers
2017,June,Female,30 to 44,366,357,9,2.4,Young Adults
2017,June,Female,45 to 49,288,275,13,4.9,Middle Aged
2017,June,Female,50 to 54,441,419,22,5.1,Middle Aged
2017,June,Female,55 to 59,561,592,-31,-5.3,Middle Aged
2017,June,Female,60 to 64,756,816,-60,-7.3,Middle Aged
2017,June,Female,65 to 69,1301,1229,72,5.8,Older Adults
2017,June,Female,70 to 74,1716,1778,-62,-3.5,Older Adults
2017,June,Female,75 to 79,2280,2299,-19,-0.8,Seniors
2017,June,Female,80 to 84,3264,3279,-15,-0.5,Seniors
2017,June,Female,85 to 89,4144,4190,-46,-1.1,Elderly
2017,June,Female,90 and over,5892,5695,197,3.5,Elderly
2017,July,Both Sexes,All ages,38425,38821,-396,-1,All Ages
