year,sex,age,marital_status,deaths,age_band
2024,Both Sexes,11,Marital status not stated,0,NA
2024,Both Sexes,12,All marital statuses,53,NA
2024,Both Sexes,12,Single,53,NA
2024,Both Sexes,12,Married,0,NA
2024,Both Sexes,12,Widowed,0,NA
2024,Both Sexes,12,Divorced,0,NA
2024,Both Sexes,12,Civil partnership,0,NA
2024,Both Sexes,12,Civil partnership widowed,0,NA
2024,Both Sexes,12,Civil partnership dissolved,0,NA
2024,Both Sexes,12,Marital status not stated,0,NA
2024,Both Sexes,13,All marital statuses,66,NA
2024,Both Sexes,13,Single,66,NA
2024,Both Sexes,13,Married,0,NA
2024,Both Sexes,13,Widowed,0,NA
2024,Both Sexes,13,Divorced,0,NA
2024,Both Sexes,13,Civil partnership,0,NA
2024,Both Sexes,13,Civil partnership widowed,0,NA
2024,Both Sexes,13,Civil partnership dissolved,0,NA
2024,Both Sexes,13,Marital status not stated,0,NA
2024,Both Sexes,14,All marital statuses,89,NA
2024,Both Sexes,14,Single,89,NA
2024,Both Sexes,14,Married,0,NA
2024,Both Sexes,14,Widowed,0,NA
2024,Both Sexes,14,Divorced,0,NA
2024,Both Sexes,14,Civil partnership,0,NA
2024,Both Sexes,14,Civil partnership widowed,0,NA
2024,Both Sexes,14,Civil partnership dissolved,0,NA
2024,Both Sexes,14,Marital status not stated,0,NA
2024,Both Sexes,15,All marital statuses,99,NA
2024,Both Sexes,15,Single,99,NA
2024,Both Sexes,15,Married,0,NA
2024,Both Sexes,15,Widowed,0,NA
2024,Both Sexes,15,Divorced,0,NA
2024,Both Sexes,15,Civil partnership,0,NA
2024,Both Sexes,15,Civil partnership widowed,0,NA
2024,Both Sexes,15,Civil partnership dissolved,0,NA
2024,Both Sexes,15,Marital status not stated,0,NA
2024,Both Sexes,16,All marital statuses,146,NA
2024,Both Sexes,16,Single,133,NA
2024,Both Sexes,16,Married,0,NA
2024,Both Sexes,16,Widowed,0,NA
2024,Both Sexes,16,Divorced,0,NA
2024,Both Sexes,16,Civil partnership,0,NA
2024,Both Sexes,16,Civil partnership widowed,0,NA
2024,Both Sexes,16,Civil partnership dissolved,0,NA
2024,Both Sexes,16,Marital status not stated,13,NA
2024,Both Sexes,17,All marital statuses,165,NA
2024,Both Sexes,17,Single,155,NA
2024,Both Sexes,17,Married,0,NA
2024,Both Sexes,17,Widowed,0,NA
2024,Both Sexes,17,Divorced,0,NA
2024,Both Sexes,17,Civil partnership,0,NA
2024,Both Sexes,17,Civil partnership widowed,0,NA
2024,Both Sexes,17,Civil partnership dissolved,0,NA
2024,Both Sexes,17,Marital status not stated,10,NA
2024,Both Sexes,18,All marital statuses,230,NA
2024,Both Sexes,18,Single,219,NA
2024,Both Sexes,18,Married,0,NA
2024,Both Sexes,18,Widowed,0,NA
2024,Both Sexes,18,Divorced,0,NA
2024,Both Sexes,18,Civil partnership,0,NA
2024,Both Sexes,18,Civil partnership widowed,0,NA
2024,Both Sexes,18,Civil partnership dissolved,0,NA
2024,Both Sexes,18,Marital status not stated,11,NA
2024,Both Sexes,19,All marital statuses,259,NA
2024,Both Sexes,19,Single,239,NA
2024,Both Sexes,19,Married,1,NA
2024,Both Sexes,19,Widowed,0,NA
2024,Both Sexes,19,Divorced,0,NA
2024,Both Sexes,19,Civil partnership,0,NA
2024,Both Sexes,19,Civil partnership widowed,0,NA
