year,sex,age_group,cause,icd10_code,deaths,crude_rate,mean_age,yll_16_64,yll_u75,yll_rate,age_band
2015,Both Sexes,All ages (excluding under 1),Accidental poisoning by and exposure to noxious substances,X40 to X49,3115,5.4,44,68,98,187,NA
2015,Both Sexes,All ages (excluding under 1),Intentional self-harm,X60 to X84,4150,7.3,48,77,113,215.6,NA
2015,Both Sexes,All ages (excluding under 1),Intentional self-harm; and event of undetermined intent,"X60 to X84, Y10 to Y34",5208,9.1,48,99,144,275.1,NA
2015,Both Sexes,All ages (excluding under 1),COVID-19,"U07.1 to U07.2, U10.9",NA,NA,NA,NA,NA,NA,NA
2015,Male,All ages (excluding under 1),All causes,"A00 to R99, U00 to Y89",255624,909.8,76,604,1309,5009.2,NA
2015,Male,All ages (excluding under 1),"Tuberculosis, including sequelae","A15 to A19, B90",188,0.7,72,1,2,6.1,NA
2015,Male,All ages (excluding under 1),Meningococcal infection and meningitis,"A39, G00 to G03",106,0.4,53,2,2,9.4,NA
2015,Male,All ages (excluding under 1),Malignant neoplasm of oesophagus,C15,4794,17.1,72,9,29,110.3,NA
2015,Male,All ages (excluding under 1),Malignant neoplasm of stomach,C16,2483,8.8,75,4,12,46.3,NA
2015,Male,All ages (excluding under 1),Malignant neoplasm of colon,C18,4240,15.1,75,7,20,75.7,NA
2015,Male,All ages (excluding under 1),"Malignant neoplasm of rectosigmoid junction, rectum, and anus",C19 to C21,3548,12.6,74,8,20,78.4,NA
2015,Male,All ages (excluding under 1),Malignant neoplasm of liver and intra hepatic bile ducts,C22,2648,9.4,73,5,15,56.9,NA
2015,Male,All ages (excluding under 1),Malignant neoplasm of pancreas,C25,3988,14.2,73,7,22,85.7,NA
2015,Male,All ages (excluding under 1),"Malignant neoplasm of trachea, bronchus and lung",C33 to C34,16572,59,74,21,78,298.4,NA
2015,Male,All ages (excluding under 1),Malignant melanoma of skin,C43,1324,4.7,70,5,11,41,NA
2015,Male,All ages (excluding under 1),Other malignant neoplasm of the skin,C44,422,1.5,80,0,1,5,NA
2015,Male,All ages (excluding under 1),Malignant neoplasm of breast,C50,75,0.3,76,0,0,1.3,NA
2015,Male,All ages (excluding under 1),Malignant neoplasm of cervix uteri,C53,NA,NA,NA,NA,NA,NA,NA
2015,Male,All ages (excluding under 1),Malignant neoplasm of ovary,C56,NA,NA,NA,NA,NA,NA,NA
2015,Male,All ages (excluding under 1),Malignant neoplasm of prostate,C61,10579,37.7,81,3,18,68.3,NA
2015,Male,All ages (excluding under 1),"Malignant neoplasm of kidney, except pelvis",C64,2209,7.9,73,5,13,51.2,NA
2015,Male,All ages (excluding under 1),Malignant neoplasm of bladder,C67,3265,11.6,79,2,8,30.4,NA
2015,Male,All ages (excluding under 1),Malignant neoplasm of brain,C71,2131,7.6,64,14,27,103.3,NA
2015,Male,All ages (excluding under 1),Non-Hodgkins lymphoma,C82 to C85,2383,8.5,74,5,13,48.1,NA
2015,Male,All ages (excluding under 1),Multiple myeloma and malignant plasma cell neoplasms,C90,1471,5.2,76,2,6,21.7,NA
2015,Male,All ages (excluding under 1),Leukaemia,C91 to C95,2427,8.6,74,7,14,53,NA
2015,Male,All ages (excluding under 1),Diabetes mellitus,E10 to E14,2754,9.8,77,6,13,49.9,NA
2015,Male,All ages (excluding under 1),Dementia,"F01, F03",15848,56.4,86,0,4,14.6,NA
2015,Male,All ages (excluding under 1),Mental and behavioural disorders due to psychoactive substance use,"F11 to F16, F18 to F19",108,0.4,41,3,4,13.9,NA
2015,Male,All ages (excluding under 1),Motor neuron disease,G12.2,1025,3.6,71,2,7,26.3,NA
2015,Male,All ages (excluding under 1),Alzheimer disease,G30,4555,16.2,85,0,2,6.7,NA
2015,Male,All ages (excluding under 1),Multiple sclerosis,G35,457,1.6,65,2,5,19.4,NA
2015,Male,All ages (excluding under 1),Ischaemic heart diseases,I20 to I25,36731,130.7,76,61,166,636.2,NA
2015,Male,All ages (excluding under 1),Cerebrovascular diseases,I60 to I69,14412,51.3,80,15,39,150.3,NA
2015,Male,All ages (excluding under 1),Influenza,J09 to J11,127,0.5,75,0,1,3.4,NA
2015,Male,All ages (excluding under 1),Pneumonia,J12 to J18,13105,46.6,83,13,30,116.6,NA
2015,Male,All ages (excluding under 1),"Bronchitis, emphysema, and other chronic pulmonary disease",J40 to J44,14768,52.6,79,8,37,140.8,NA
2015,Male,All ages (excluding under 1),Asthma and status asthmaticus,J45 to J46,364,1.3,75,2,3,11.4,NA
2015,Male,All ages (excluding under 1),Gastric and duodenal ulcer,K25 to K27,1033,3.7,74,3,6,23.4,NA
2015,Male,All ages (excluding under 1),Diseases of the liver,K70 to K77,4863,17.3,60,40,77,295.5,NA
2015,Male,All ages (excluding under 1),Land transport accidents,V01 to V09,1228,4.4,46,27,37,142.8,NA
2015,Male,All ages (excluding under 1),Accidental poisoning by and exposure to noxious substances,X40 to X49,2256,8,43,51,73,280.9,NA
2015,Male,All ages (excluding under 1),Intentional self-harm,X60 to X84,3162,11.3,48,59,87,334.2,NA
2015,Male,All ages (excluding under 1),Intentional self-harm; and event of undetermined intent,"X60 to X84, Y10 to Y34",3906,13.9,47,76,110,422.3,NA
2015,Male,All ages (excluding under 1),COVID-19,"U07.1 to U07.2, U10.9",NA,NA,NA,NA,NA,NA,NA
2015,Female,All ages (excluding under 1),All causes,"A00 to R99, U00 to Y89",271310,932.5,81,372,845,3205.5,NA
2015,Female,All ages (excluding under 1),"Tuberculosis, including sequelae","A15 to A19, B90",125,0.4,76,0,1,2.9,NA
2015,Female,All ages (excluding under 1),Meningococcal infection and meningitis,"A39, G00 to G03",96,0.3,65,1,1,5.4,NA
2015,Female,All ages (excluding under 1),Malignant neoplasm of oesophagus,C15,2174,7.5,77,2,8,30.6,NA
2015,Female,All ages (excluding under 1),Malignant neoplasm of stomach,C16,1342,4.6,77,3,6,23.5,NA
2015,Female,All ages (excluding under 1),Malignant neoplasm of colon,C18,4094,14.1,78,6,16,61.6,NA
2015,Female,All ages (excluding under 1),"Malignant neoplasm of rectosigmoid junction, rectum, and anus",C19 to C21,2561,8.8,76,5,13,51,NA
2015,Female,All ages (excluding under 1),Malignant neoplasm of liver and intra hepatic bile ducts,C22,1807,6.2,76,3,8,30,NA
2015,Female,All ages (excluding under 1),Malignant neoplasm of pancreas,C25,3977,13.7,76,5,18,66.7,NA
2015,Female,All ages (excluding under 1),"Malignant neoplasm of trachea, bronchus and lung",C33 to C34,13948,47.9,74,19,67,253,NA
2015,Female,All ages (excluding under 1),Malignant melanoma of skin,C43,886,3,72,4,7,27.3,NA
2015,Female,All ages (excluding under 1),Other malignant neoplasm of the skin,C44,244,0.8,82,0,1,2.5,NA
2015,Female,All ages (excluding under 1),Malignant neoplasm of breast,C50,10191,35,72,37,79,300.4,NA
2015,Female,All ages (excluding under 1),Malignant neoplasm of cervix uteri,C53,720,2.5,62,7,11,41.7,NA
2015,Female,All ages (excluding under 1),Malignant neoplasm of ovary,C56,3529,12.1,73,8,21,81.3,NA
2015,Female,All ages (excluding under 1),Malignant neoplasm of prostate,C61,NA,NA,NA,NA,NA,NA,NA
2015,Female,All ages (excluding under 1),"Malignant neoplasm of kidney, except pelvis",C64,1279,4.4,75,3,7,24.7,NA
2015,Female,All ages (excluding under 1),Malignant neoplasm of bladder,C67,1483,5.1,80,2,4,16.2,NA
2015,Female,All ages (excluding under 1),Malignant neoplasm of brain,C71,1551,5.3,67,8,17,63.9,NA
2015,Female,All ages (excluding under 1),Non-Hodgkins lymphoma,C82 to C85,1948,6.7,77,3,8,30.5,NA
2015,Female,All ages (excluding under 1),Multiple myeloma and malignant plasma cell neoplasms,C90,1186,4.1,78,1,3,13.2,NA
2015,Female,All ages (excluding under 1),Leukaemia,C91 to C95,1713,5.9,76,5,9,34.9,NA
2015,Female,All ages (excluding under 1),Diabetes mellitus,E10 to E14,2828,9.7,82,3,7,28,NA
2015,Female,All ages (excluding under 1),Dementia,"F01, F03",31515,108.3,89,0,4,14.2,NA
2015,Female,All ages (excluding under 1),Mental and behavioural disorders due to psychoactive substance use,"F11 to F16, F18 to F19",32,0.1,40,1,1,4.2,NA
2015,Female,All ages (excluding under 1),Motor neuron disease,G12.2,779,2.7,73,1,4,14.9,NA
2015,Female,All ages (excluding under 1),Alzheimer disease,G30,9768,33.6,87,0,3,10.7,NA
2015,Female,All ages (excluding under 1),Multiple sclerosis,G35,838,2.9,68,3,8,29.2,NA
2015,Female,All ages (excluding under 1),Ischaemic heart diseases,I20 to I25,24086,82.8,83,15,47,177.3,NA
2015,Female,All ages (excluding under 1),Cerebrovascular diseases,I60 to I69,20468,70.4,85,13,32,122.2,NA
2015,Female,All ages (excluding under 1),Influenza,J09 to J11,154,0.5,76,1,1,4.7,NA
2015,Female,All ages (excluding under 1),Pneumonia,J12 to J18,16483,56.7,87,9,20,76.7,NA
2015,Female,All ages (excluding under 1),"Bronchitis, emphysema, and other chronic pulmonary disease",J40 to J44,14298,49.1,80,7,31,117.7,NA
2015,Female,All ages (excluding under 1),Asthma and status asthmaticus,J45 to J46,938,3.2,81,2,4,14.8,NA
2015,Female,All ages (excluding under 1),Gastric and duodenal ulcer,K25 to K27,891,3.1,81,1,2,8.2,NA
2015,Female,All ages (excluding under 1),Diseases of the liver,K70 to K77,3106,10.7,62,24,45,172.4,NA
2015,Female,All ages (excluding under 1),Land transport accidents,V01 to V09,416,1.4,54,7,10,37.7,NA
2015,Female,All ages (excluding under 1),Accidental poisoning by and exposure to noxious substances,X40 to X49,859,3,46,17,25,94,NA
2015,Female,All ages (excluding under 1),Intentional self-harm,X60 to X84,988,3.4,50,17,26,98.1,NA
2015,Female,All ages (excluding under 1),Intentional self-harm; and event of undetermined intent,"X60 to X84, Y10 to Y34",1302,4.5,50,23,34,129.2,NA
2015,Female,All ages (excluding under 1),COVID-19,"U07.1 to U07.2, U10.9",NA,NA,NA,NA,NA,NA,NA
